Sector,Ticker,Item,Window,Sim_Score,Top_New_Terms,Category
Cybersecurity,PANW,1A,2022-2023,0.9791,"2025, 2025 notes, ai, hardware, hardware products",2. Adaptive
Cybersecurity,PANW,1A,2023-2024,0.9959,"2024, customers, 31 2024, new customers, 2025",1. Boilerplate
Cybersecurity,PANW,1A,2024-2025,0.9777,"cyberark, acquisition, acquisition cyberark, including, business",2. Adaptive
Cybersecurity,PANW,1C,2024-2025,0.9908,"vice president, president, vice, acting chief, acting",1. Boilerplate
Cybersecurity,CRWD,1A,2022-2023,0.9977,"31 2023, data, 2023, gdpr, health crises",1. Boilerplate
Cybersecurity,CRWD,1A,2023-2024,0.9944,"ai, products services, services, 2024, 31 2024",1. Boilerplate
Cybersecurity,CRWD,1A,2024-2025,0.9873,"july 19, 19 incident, incident, 19, july",1. Boilerplate
Cybersecurity,CRWD,1C,2024-2025,0.9993,"fiscal 2025, 2025, 2025 did",1. Boilerplate
Cybersecurity,S,1A,2022-2023,0.9926,"global, 2023, banking, including, security",1. Boilerplate
Cybersecurity,S,1A,2023-2024,0.9857,"uk, ai, data, conflicts, cybersecurity",1. Boilerplate
Cybersecurity,S,1A,2024-2025,0.9905,"government, 2025, 31 2025, ai, changes",1. Boilerplate
Cybersecurity,S,1C,2024-2025,0.977,"ciso, leadership, oversight, experience, cybersecurity",2. Adaptive
Cybersecurity,PRGS,1A,2022-2023,0.9053,"moveit, cloud, moveit transfer, moveit cloud, moveit vulnerability",2. Adaptive
Cybersecurity,PRGS,1A,2023-2024,0.9583,"products, 2024, services, market price, price common",2. Adaptive
Cybersecurity,PRGS,1A,2024-2025,0.9915,"ai, 2025, stock, including, fiscal 2025",1. Boilerplate
Cybersecurity,PRGS,1C,2023-2024,0.2017,"officer, chief, security, management, information",3. Dynamic
Cybersecurity,PRGS,1C,2024-2025,0.9958,"team, members executive, team quarterly, executive team, reports audit",1. Boilerplate
Cybersecurity,RPD,1A,2022-2023,0.9831,"products service, service, ai, service offerings, 2023",1. Boilerplate
Cybersecurity,RPD,1A,2023-2024,0.9959,"31 2024, 2024, command platform, command, including command",1. Boilerplate
Cybersecurity,RPD,1A,2024-2025,0.9958,"31 2025, credit facility, revolving credit, revolving, 2025",1. Boilerplate
Cybersecurity,RPD,1C,2023-2024,0.9986,"program pillar, independent audits, independent, pillar, pillar broader",1. Boilerplate
Cybersecurity,RPD,1C,2024-2025,0.9989,"committee rapid7, variety expertise, variety, members variety, rapid7",1. Boilerplate
Cybersecurity,VRNS,1A,2022-2023,0.9968,"2023, 31 2023, ai, delivery model, saas delivery",1. Boilerplate
Cybersecurity,VRNS,1A,2023-2024,0.9949,"2024, 31 2024, conversion notes, notes, states",1. Boilerplate
Cybersecurity,VRNS,1A,2024-2025,0.9914,"2029, 2029 notes, 2025, 31 2025, development",1. Boilerplate
Cybersecurity,VRNS,1C,2023-2024,0.9974,"nature 35, attack, material effect, officer vp, data sensitive",1. Boilerplate
Cybersecurity,VRNS,1C,2024-2025,0.9904,"support, engineer, microsoft, cyberark, team leader",1. Boilerplate
Retail & E-Commerce,ETSY,1A,2022-2023,0.9901,"2023, sellers, cyber related, 31 2023, related",1. Boilerplate
Retail & E-Commerce,ETSY,1A,2023-2024,0.9868,"including, regulations, sellers, macro conditions, macro",1. Boilerplate
Retail & E-Commerce,ETSY,1A,2024-2025,0.9826,"ai, use, sale, enabled, ai enabled",1. Boilerplate
Retail & E-Commerce,ETSY,1C,2023-2024,0.9647,"risk, 2024, interim, risk oversight, oversight committee",2. Adaptive
Retail & E-Commerce,ETSY,1C,2024-2025,0.9653,"cpto, external, depop, product, growth",2. Adaptive
Retail & E-Commerce,BOOT,1A,2022-2023,0.9887,"april 2023, sofr, 2023, ongoing conflict, performance",1. Boilerplate
Retail & E-Commerce,BOOT,1A,2023-2024,0.9948,"2024, 30 2024, march 30, march, revolving credit",1. Boilerplate
Retail & E-Commerce,BOOT,1A,2024-2025,0.986,"impact, consumer, tariffs, changes, 2025",1. Boilerplate
Retail & E-Commerce,BOOT,1C,2024-2025,0.9906,"party business, business, business partners, partners, partners maintain",1. Boilerplate
Retail & E-Commerce,SFIX,1A,2022-2023,0.9863,"2023, transfer, owned private, personal data, company",1. Boilerplate
Retail & E-Commerce,SFIX,1A,2023-2024,0.9856,"transformation, 2024, tariffs, shipped china, august 2024",1. Boilerplate
Retail & E-Commerce,SFIX,1A,2024-2025,0.9814,"2025, fix 2025, 2025 form, form 10, 10",1. Boilerplate
Retail & E-Commerce,SFIX,1C,2024-2025,0.9178,"information systems, information, data, risks cybersecurity, time",2. Adaptive
Retail & E-Commerce,AMZN,1A,2022-2023,0.9946,"artificial intelligence, artificial, intelligence, china based, products",1. Boilerplate
Retail & E-Commerce,AMZN,1A,2023-2024,0.9988,"communications services, communications, services, satellite, services healthcare",1. Boilerplate
Retail & E-Commerce,AMZN,1A,2024-2025,0.997,"technologies, artificial intelligence, intelligence, artificial, including",1. Boilerplate
Retail & E-Commerce,AMZN,1C,2023-2024,0.9973,"table contents, table, incidents read, contents, contents item",1. Boilerplate
Retail & E-Commerce,AMZN,1C,2024-2025,0.9946,"technologies, artificial intelligence, technologies content, artificial, communication",1. Boilerplate
Retail & E-Commerce,UPWK,1A,2022-2023,0.9116,"customers, customer, results financial, business operating, operating",2. Adaptive
Retail & E-Commerce,UPWK,1A,2023-2024,0.982,"2024, business, repurchase authorization, authorization, 2024 share",1. Boilerplate
Retail & E-Commerce,UPWK,1A,2024-2025,0.936,"platforms, platforms workforce, workforce solutions, solutions, workforce",2. Adaptive
Retail & E-Commerce,UPWK,1C,2023-2024,0.9926,"data, commerce, privacy data, 32 enter, providers systems",1. Boilerplate
Retail & E-Commerce,UPWK,1C,2024-2025,0.8897,"platforms, platforms workforce, workforce, customer, solutions",3. Dynamic
Technology,GOOGL,1A,2022-2023,0.9871,"ai, strategic arrangements, devices, products services, 2023",1. Boilerplate
Technology,GOOGL,1A,2023-2024,0.9907,"including, ai, 2024, dividend, portability",1. Boilerplate
Technology,GOOGL,1A,2024-2025,0.9899,"ai, 2025, capacity, infrastructure, financing",1. Boilerplate
Technology,GOOGL,1C,2023-2024,0.9628,"infrastructure, years experience, comprise professionals, promptly, promptly escalated",2. Adaptive
Technology,GOOGL,1C,2024-2025,0.9903,"risk compliance, risk, relevant matters, 23 table, management process",1. Boilerplate
Technology,MSFT,1A,2022-2023,0.9883,"ai, services, generative ai, generative, regulations",1. Boilerplate
Technology,MSFT,1A,2023-2024,0.9599,"operations, results operations, results, condition results, condition",2. Adaptive
Technology,MSFT,1A,2024-2025,0.9905,"processes, ai, uncertainty, development, safety",1. Boilerplate
Technology,MSFT,1C,2024-2025,0.9936,"cloud ai, evp cloud, cloud, ai, insights 84",1. Boilerplate
Technology,AAPL,1A,2022-2023,0.9962,"2023, 2023 form, apple 2023, app store, app",1. Boilerplate
Technology,AAPL,1A,2023-2024,0.9964,"apple 2024, 2024 form, ios, ios ipados, ipados",1. Boilerplate
Technology,AAPL,1A,2024-2025,0.987,"stock, stock price, price, condition stock, 2025",1. Boilerplate
Technology,AAPL,1C,2023-2024,0.1499,"security, cybersecurity, information, information security, risks",3. Dynamic
Technology,AAPL,1C,2024-2025,0.9962,"security, company, cybersecurity, information security, information",1. Boilerplate
Technology,SCSC,1A,2022-2023,0.9813,"ransomware, systems, 2023, revenue, future",1. Boilerplate
Technology,SCSC,1A,2023-2024,0.9951,"insurance, channel, inflation, general, financial",1. Boilerplate
Technology,SCSC,1A,2024-2025,0.8492,"channel sales, channel, sales, sales partners, sales partner",3. Dynamic
Technology,SCSC,1C,2024-2025,0.9979,"vp information, information security, security, information, board annually",1. Boilerplate
Technology,U,1A,2022-2023,0.9798,"solutions, ai, ml, ai ml, israel",2. Adaptive
Technology,U,1A,2023-2024,0.995,"2026, 2026 notes, learning, machine learning, machine",1. Boilerplate
Technology,U,1A,2024-2025,0.9877,"2030, 2030 notes, notes, notes 2026, trade",1. Boilerplate
Technology,U,1C,2023-2024,0.9837,"deputy chief, deputy, including deputy, team chief, place address",1. Boilerplate
Technology,U,1C,2024-2025,0.9462,"interim, interim chief, information security, chief information, information",2. Adaptive
Technology,AMPL,1A,2022-2023,0.9953,"2023, 31 2023, restructuring plan, restructuring, public health",1. Boilerplate
Technology,AMPL,1A,2023-2024,0.9873,"ai, ai technologies, technologies, use, eu",1. Boilerplate
Technology,AMPL,1A,2024-2025,0.9838,"ai analytics, ai, data, eu gdpr, access ai",1. Boilerplate
Technology,AMPL,1C,2023-2024,0.9045,"committee, cybersecurity committee, chief, officer, operations",2. Adaptive
Technology,AMPL,1C,2024-2025,0.9736,"levy, engineering, engineering security, mr levy, security",2. Adaptive
Technology,GTLB,1A,2022-2023,0.988,"devsecops, devsecops platform, 2023, inflation, product",1. Boilerplate
Technology,GTLB,1A,2023-2024,0.9921,"ai, personal data, data, global, related",1. Boilerplate
Technology,GTLB,1A,2024-2025,0.9971,"icfr, 2025, 31 2025, regulatory, platform including",1. Boilerplate
Technology,GTLB,1C,2024-2025,0.9648,"program led, led, security, program, including",2. Adaptive
Healthcare,JNJ,1A,2022-2023,0.9691,"kenvue, operations, ai, 2023, financial",2. Adaptive
Healthcare,JNJ,1A,2023-2024,0.9872,"tariffs, 2024, 2024 annual, including, actions",1. Boilerplate
Healthcare,JNJ,1A,2024-2025,0.9872,"separation, planned separation, planned, 2025, shares",1. Boilerplate
Healthcare,JNJ,1C,2023-2024,0.9953,"recovery, incident detection, response recovery, including security, 2024",1. Boilerplate
Healthcare,JNJ,1C,2024-2025,0.999,"2025, 2025 annual, industry 2025",1. Boilerplate
Healthcare,VKTX,1A,2022-2023,0.9953,"2023, patent, unitary, upc, 31 2023",1. Boilerplate
Healthcare,VKTX,1A,2023-2024,0.9952,"data, 2024, uk, health, intelligence",1. Boilerplate
Healthcare,VKTX,1A,2024-2025,0.9887,"product, 2025, product candidates, current, 31 2025",1. Boilerplate
Healthcare,VKTX,1C,2023-2024,0.9993,"management 58, 58, 58 information",1. Boilerplate
Healthcare,VKTX,1C,2024-2025,0.9993,"management 65, 65, 65 information",1. Boilerplate
