ticker,company_name,sector,year,has_1c,boilerplate_count,boilerplate_ratio,matched_phrases
F,FORD MOTOR CO,Automotive,2022,False,5,0.000498,we may be subject to ; from time to time ; could adversely affect ; may not be sufficient ; applicable laws and regulations
F,FORD MOTOR CO,Automotive,2023,True,7,0.000542,we may be subject to ; there can be no assurance ; from time to time ; could adversely affect ; may not be sufficient ; applicable laws and regulations ; we devote significant resources
F,FORD MOTOR CO,Automotive,2024,True,7,0.00049,we may be subject to ; there can be no assurance ; from time to time ; could adversely affect ; may not be sufficient ; applicable laws and regulations ; we devote significant resources
F,FORD MOTOR CO,Automotive,2025,True,8,0.000525,we may be subject to ; there can be no assurance ; from time to time ; could adversely affect ; may not be sufficient ; applicable laws and regulations ; evolving regulatory landscape ; we devote significant resources
TSLA,"Tesla, Inc.",Automotive,2022,False,8,0.000636,we cannot guarantee ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; applicable laws and regulations
TSLA,"Tesla, Inc.",Automotive,2023,True,8,0.000626,we cannot guarantee ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; applicable laws and regulations
TSLA,"Tesla, Inc.",Automotive,2024,True,8,0.000622,we cannot guarantee ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; applicable laws and regulations
TSLA,"Tesla, Inc.",Automotive,2025,True,7,0.000523,we cannot guarantee ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; applicable laws and regulations
CROX,"Crocs, Inc.",Consumer Goods,2022,False,10,0.000651,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
CROX,"Crocs, Inc.",Consumer Goods,2023,True,11,0.000685,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; threat actors
CROX,"Crocs, Inc.",Consumer Goods,2024,True,11,0.000624,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; threat actors
CROX,"Crocs, Inc.",Consumer Goods,2025,True,11,0.000588,we cannot guarantee ; we cannot assure ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; threat actors
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2022,False,8,0.000388,we may be subject to ; we may experience ; there can be no assurance ; from time to time ; could adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2023,False,10,0.000468,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; applicable laws and regulations
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2024,True,11,0.000466,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; applicable laws and regulations
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2025,True,12,0.000478,we cannot guarantee ; we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; applicable laws and regulations
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2022,False,8,0.000905,we cannot assure ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2023,False,8,0.000883,we cannot assure ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2024,True,8,0.000774,we cannot assure ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2025,True,8,0.000764,we cannot assure ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; may adversely affect ; could have a material adverse effect
NKE,"NIKE, Inc.",Consumer Goods,2022,False,10,0.000724,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; might adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
NKE,"NIKE, Inc.",Consumer Goods,2023,False,10,0.000725,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; might adversely affect ; could have a material adverse effect ; may not be sufficient ; applicable laws and regulations
NKE,"NIKE, Inc.",Consumer Goods,2024,True,11,0.000719,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; might adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; applicable laws and regulations
NKE,"NIKE, Inc.",Consumer Goods,2025,True,11,0.00073,we may be subject to ; we may experience ; there can be no assurance ; we cannot predict ; from time to time ; could adversely affect ; might adversely affect ; could have a material adverse effect ; may not be sufficient ; threat actors ; applicable laws and regulations
PEP,PEPSICO INC,Consumer Goods,2022,False,7,0.000877,there can be no assurance ; we cannot predict ; from time to time ; could have a material adverse effect ; malicious actors ; applicable laws and regulations ; we devote significant resources
PEP,PEPSICO INC,Consumer Goods,2023,True,8,0.000844,there can be no assurance ; we cannot predict ; from time to time ; could have a material adverse effect ; threat actors ; malicious actors ; applicable laws and regulations ; we devote significant resources
