ticker,company_name,sector,year,has_1c,size,market_cap,len_1a,len_1c,len_combined
F,FORD MOTOR CO,Automotive,2022,False,Large,54.975B,10044,0,10044
F,FORD MOTOR CO,Automotive,2023,True,Large,54.975B,11449,1465,12914
F,FORD MOTOR CO,Automotive,2024,True,Large,54.975B,13024,1274,14298
F,FORD MOTOR CO,Automotive,2025,True,Large,54.975B,13977,1272,15249
TSLA,"Tesla, Inc.",Automotive,2022,False,Large,1.535T,12575,0,12575
TSLA,"Tesla, Inc.",Automotive,2023,True,Large,1.535T,11994,783,12777
TSLA,"Tesla, Inc.",Automotive,2024,True,Large,1.535T,12074,783,12857
TSLA,"Tesla, Inc.",Automotive,2025,True,Large,1.535T,12602,783,13385
CROX,"Crocs, Inc.",Consumer Goods,2022,False,Medium,5.009B,15370,0,15370
CROX,"Crocs, Inc.",Consumer Goods,2023,True,Medium,5.009B,15053,1001,16054
CROX,"Crocs, Inc.",Consumer Goods,2024,True,Medium,5.009B,16625,1003,17628
CROX,"Crocs, Inc.",Consumer Goods,2025,True,Medium,5.009B,17680,1029,18709
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2022,False,Medium,"5,435B",20640,0,20640
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2023,False,Medium,"5,435B",21354,0,21354
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2024,True,Medium,"5,435B",22799,807,23606
ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2025,True,Medium,"5,435B",24200,920,25120
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2022,False,Small,384.9M,8839,0,8839
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2023,False,Small,384.9M,9055,0,9055
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2024,True,Small,384.9M,9659,679,10338
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2025,True,Small,384.9M,9786,679,10465
NKE,"NIKE, Inc.",Consumer Goods,2022,False,Large,97.13B,13811,0,13811
NKE,"NIKE, Inc.",Consumer Goods,2023,False,Large,97.13B,13789,0,13789
NKE,"NIKE, Inc.",Consumer Goods,2024,True,Large,97.13B,14628,670,15298
NKE,"NIKE, Inc.",Consumer Goods,2025,True,Large,97.13B,14400,670,15070
PEP,PEPSICO INC,Consumer Goods,2022,False,Large,225.1B,7982,0,7982
PEP,PEPSICO INC,Consumer Goods,2023,True,Large,225.1B,8684,800,9484
PEP,PEPSICO INC,Consumer Goods,2024,True,Large,225.1B,9296,794,10090
PEP,PEPSICO INC,Consumer Goods,2025,True,Large,225.1B,9560,792,10352
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2022,False,Small,1.297B,5499,0,5499
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2023,False,Small,1.297B,5637,0,5637
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2024,True,Small,1.297B,6065,710,6775
WGO,WINNEBAGO INDUSTRIES INC,Consumer Goods,2025,True,Small,1.297B,6147,708,6855
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2022,False,Large,106.4B,24714,0,24714
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2023,False,Large,106.4B,24852,0,24852
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,2024,True,Large,106.4B,25026,791,25817
