sector,year,len_1a,len_1c,len_combined
Automotive,2022,11310.0,0.0,11310.0
Automotive,2023,11722.0,1124.0,12846.0
Automotive,2024,12549.0,1028.0,13578.0
Automotive,2025,13290.0,1028.0,14317.0
Consumer Goods,2022,12024.0,0.0,12024.0
Consumer Goods,2023,12262.0,300.0,12562.0
Consumer Goods,2024,13179.0,777.0,13956.0
Consumer Goods,2025,13629.0,800.0,14428.0
Cybersecurity,2022,20849.0,0.0,20849.0
Cybersecurity,2023,20956.0,306.0,21261.0
Cybersecurity,2024,21117.0,900.0,22016.0
Cybersecurity,2025,21403.0,917.0,22320.0
Finance,2022,25140.0,0.0,25140.0
Finance,2023,25050.0,364.0,25414.0
Finance,2024,25370.0,901.0,26271.0
Finance,2025,19984.0,904.0,20888.0
Healthcare,2022,10404.0,0.0,10404.0
Healthcare,2023,10966.0,542.0,11508.0
Healthcare,2024,11573.0,752.0,12325.0
Healthcare,2025,13004.0,798.0,13802.0
Retail & E-Commerce,2022,19611.0,0.0,19611.0
Retail & E-Commerce,2023,17906.0,650.0,18557.0
Retail & E-Commerce,2024,16041.0,872.0,16913.0
Retail & E-Commerce,2025,16372.0,946.0,17318.0
Semiconductors,2022,12824.0,0.0,12824.0
Semiconductors,2023,14220.0,453.0,14673.0
Semiconductors,2024,14224.0,524.0,14749.0
Semiconductors,2025,14428.0,634.0,15062.0
Technology,2022,16232.0,0.0,16232.0
Technology,2023,16200.0,412.0,16612.0
Technology,2024,16725.0,689.0,17414.0
Technology,2025,16710.0,714.0,17424.0
