ticker,year,specificity_score,boilerplate_ratio,sector,size,has_1c,S,category
AAPL,2022,0.3333333333333333,0.000881,Technology,Large,False,59.96476,Low Specificity
AAPL,2023,0.3333333333333333,0.000828,Technology,Large,True,59.966879999999996,Low Specificity
AAPL,2024,0.3333333333333333,0.000777,Technology,Large,True,59.968920000000004,Low Specificity
AAPL,2025,0.3333333333333333,0.00069,Technology,Large,True,59.9724,Low Specificity
AMD,2022,0.16666666666666666,0.000627,Semiconductors,Large,False,49.974920000000004,Low Specificity
AMD,2023,0.3333333333333333,0.000714,Semiconductors,Large,True,59.97144,Low Specificity
AMD,2024,0.5,0.000714,Semiconductors,Large,True,69.97144,High Specificity
AMD,2025,0.6666666666666666,0.000686,Semiconductors,Large,True,79.97256,High Specificity
AMPL,2022,0.0,0.00041,Technology,Small,False,39.9836,Low Specificity
AMPL,2023,0.3333333333333333,0.000483,Technology,Small,True,59.98068,Low Specificity
AMPL,2024,0.3333333333333333,0.000453,Technology,Small,True,59.981880000000004,Low Specificity
AMPL,2025,0.5,0.000443,Technology,Small,True,69.98228,High Specificity
AMZN,2022,0.16666666666666666,0.000866,Retail & E-Commerce,Large,False,49.96536,Low Specificity
AMZN,2023,0.3333333333333333,0.000877,Retail & E-Commerce,Large,True,59.964920000000006,Low Specificity
AMZN,2024,0.3333333333333333,0.000873,Retail & E-Commerce,Large,True,59.96508,Low Specificity
AMZN,2025,0.3333333333333333,0.000856,Retail & E-Commerce,Large,True,59.96576,Low Specificity
BOOT,2022,0.0,0.000574,Retail & E-Commerce,Medium,False,39.97704,Low Specificity
BOOT,2023,0.0,0.000612,Retail & E-Commerce,Medium,False,39.97552,Low Specificity
BOOT,2024,0.3333333333333333,0.000786,Retail & E-Commerce,Medium,True,59.968560000000004,Low Specificity
BOOT,2025,0.3333333333333333,0.000804,Retail & E-Commerce,Medium,True,59.967839999999995,Low Specificity
CROX,2022,0.0,0.000846,Consumer Goods,Medium,False,39.96616,Low Specificity
CROX,2023,0.5,0.000934,Consumer Goods,Medium,True,69.96264000000001,High Specificity
CROX,2024,0.5,0.000851,Consumer Goods,Medium,True,69.96596,High Specificity
CROX,2025,0.5,0.000802,Consumer Goods,Medium,True,69.96791999999999,High Specificity
CRUS,2022,0.0,0.000929,Semiconductors,Medium,False,39.96284000000001,Low Specificity
CRUS,2023,0.0,0.000852,Semiconductors,Medium,False,39.965920000000004,Low Specificity
CRUS,2024,0.16666666666666666,0.00101,Semiconductors,Medium,True,49.95960000000001,Low Specificity
CRUS,2025,0.6666666666666666,0.000935,Semiconductors,Medium,True,79.96260000000001,High Specificity
