ticker,year,specificity_score,boilerplate_ratio,sector,size,has_1c,S,category,yoy_similarity,delta
AAPL,2022,0.3333333333333333,0.000881,Technology,Large,False,59.96476,Low Specificity,,
AAPL,2023,0.3333333333333333,0.000828,Technology,Large,True,59.96688,Low Specificity,0.8157,0.5
AAPL,2024,0.3333333333333333,0.000777,Technology,Large,True,59.96892,Low Specificity,0.7983,0.5
AAPL,2025,0.3333333333333333,0.00069,Technology,Large,True,59.9724,Low Specificity,0.579,0.0
AMD,2022,0.1666666666666666,0.000627,Semiconductors,Large,False,49.97492,Low Specificity,,
AMD,2023,0.3333333333333333,0.000714,Semiconductors,Large,True,59.97144,Low Specificity,0.6533,0.0
AMD,2024,0.5,0.000714,Semiconductors,Large,True,69.97144,High Specificity,0.7911,1.0
AMD,2025,0.6666666666666666,0.000686,Semiconductors,Large,True,79.97256,High Specificity,0.7611,1.0
AMPL,2022,0.0,0.00041,Technology,Small,False,39.9836,Low Specificity,,
AMPL,2023,0.3333333333333333,0.000483,Technology,Small,True,59.98068,Low Specificity,0.8956,0.5
AMPL,2024,0.3333333333333333,0.000453,Technology,Small,True,59.98188,Low Specificity,0.9124,0.5
AMPL,2025,0.5,0.000443,Technology,Small,True,69.98228,High Specificity,0.8572,1.0
AMZN,2022,0.1666666666666666,0.000866,Retail & E-Commerce,Large,False,49.96536,Low Specificity,,
AMZN,2023,0.3333333333333333,0.000877,Retail & E-Commerce,Large,True,59.964920000000006,Low Specificity,0.8518,0.5
AMZN,2024,0.3333333333333333,0.000873,Retail & E-Commerce,Large,True,59.96508,Low Specificity,0.965,0.5
AMZN,2025,0.3333333333333333,0.000856,Retail & E-Commerce,Large,True,59.96576,Low Specificity,0.9452,0.5
BOOT,2022,0.0,0.000574,Retail & E-Commerce,Medium,False,39.97704,Low Specificity,,
BOOT,2023,0.0,0.000612,Retail & E-Commerce,Medium,False,39.97552,Low Specificity,0.8584,0.5
BOOT,2024,0.3333333333333333,0.000786,Retail & E-Commerce,Medium,True,59.96856,Low Specificity,0.8724,0.5
BOOT,2025,0.3333333333333333,0.000804,Retail & E-Commerce,Medium,True,59.96784,Low Specificity,0.8164,0.5
CROX,2022,0.0,0.000846,Consumer Goods,Medium,False,39.96616,Low Specificity,,
CROX,2023,0.5,0.000934,Consumer Goods,Medium,True,69.96264000000001,High Specificity,0.7875,1.0
CROX,2024,0.5,0.000851,Consumer Goods,Medium,True,69.96596,High Specificity,0.8636,1.0
CROX,2025,0.5,0.000802,Consumer Goods,Medium,True,69.96791999999999,High Specificity,0.8131,1.0
CRUS,2022,0.0,0.000929,Semiconductors,Medium,False,39.96284000000001,Low Specificity,,
CRUS,2023,0.0,0.000852,Semiconductors,Medium,False,39.96592,Low Specificity,0.7952,0.5
CRUS,2024,0.1666666666666666,0.00101,Semiconductors,Medium,True,49.95960000000001,Low Specificity,0.8645,0.5
CRUS,2025,0.6666666666666666,0.000935,Semiconductors,Medium,True,79.96260000000001,High Specificity,0.85,1.0
CRWD,2022,0.3333333333333333,0.000486,Cybersecurity,Large,False,59.98056,Low Specificity,,
CRWD,2023,0.3333333333333333,0.000483,Cybersecurity,Large,False,59.98068,Low Specificity,0.9116,0.5
CRWD,2024,0.6666666666666666,0.000581,Cybersecurity,Large,True,79.97676,High Specificity,0.8519,1.0
CRWD,2025,0.6666666666666666,0.000585,Cybersecurity,Large,True,79.9766,High Specificity,0.8473,1.0
ELF,2022,0.1666666666666666,0.000436,Consumer Goods,Medium,False,49.98256,Low Specificity,,
ELF,2023,0.0,0.000515,Consumer Goods,Medium,False,39.9794,Low Specificity,0.907,0.5
