firm_year,ticker,company_name,sector,year,has_1c,total_keyword_hits,balance_score,balance_sufficient,primary_function,w_GV,w_ID,w_PR,w_DE,w_RS,w_RC,k_GV,k_ID,k_PR,k_DE,k_RS,k_RC
"Crocs, Inc. (2022)",CROX,"Crocs, Inc.",Consumer Goods,2022,False,214,0.5799,False,GV,0.5841,0.3925,0.0187,0.0,0.0,0.0047,125,84,4,0,0,1
"Crocs, Inc. (2023)",CROX,"Crocs, Inc.",Consumer Goods,2023,True,374,0.6003,True,GV,0.6257,0.2567,0.0294,0.0214,0.0615,0.0053,234,96,11,8,23,2
"Crocs, Inc. (2024)",CROX,"Crocs, Inc.",Consumer Goods,2024,True,390,0.598,False,GV,0.6308,0.2513,0.0333,0.0205,0.059,0.0051,246,98,13,8,23,2
"Crocs, Inc. (2025)",CROX,"Crocs, Inc.",Consumer Goods,2025,True,406,0.5946,False,GV,0.6379,0.2438,0.032,0.0197,0.0591,0.0074,259,99,13,8,24,3
"e.l.f. Beauty, Inc. (2022)",ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2022,False,336,0.5282,False,GV,0.753,0.1607,0.0655,0.0089,0.0119,0.0,253,54,22,3,4,0
"e.l.f. Beauty, Inc. (2023)",ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2023,False,352,0.537,False,GV,0.7358,0.1761,0.0739,0.0057,0.0085,0.0,259,62,26,2,3,0
"e.l.f. Beauty, Inc. (2024)",ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2024,True,463,0.5325,False,GV,0.7473,0.1577,0.0626,0.0086,0.0238,0.0,346,73,29,4,11,0
"e.l.f. Beauty, Inc. (2025)",ELF,"e.l.f. Beauty, Inc.",Consumer Goods,2025,True,504,0.5358,False,GV,0.7421,0.1607,0.0575,0.0179,0.0218,0.0,374,81,29,9,11,0
"MasterCraft Boat Holdings, Inc. (2022)",MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2022,False,126,0.603,True,GV,0.627,0.246,0.0397,0.0159,0.0238,0.0476,79,31,5,2,3,6
"MasterCraft Boat Holdings, Inc. (2023)",MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2023,False,136,0.6069,True,GV,0.625,0.2353,0.0662,0.0147,0.0221,0.0368,85,32,9,2,3,5
"MasterCraft Boat Holdings, Inc. (2024)",MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Goods,2024,True,216,0.5656,False,GV,0.6944,0.1852,0.0509,0.0139,0.0324,0.0231,150,40,11,3,7,5
