ticker,year,content_score,boilerplate_ratio,sector,size,has_1c,S,category
AAPL,2022,0.333333333,0.000881,Technology,Large,False,59.96475998,Low Specificity
AAPL,2023,0.333333333,0.000828,Technology,Large,True,59.966879979999995,Low Specificity
AAPL,2024,0.333333333,0.000777,Technology,Large,True,59.96891998,Low Specificity
AAPL,2025,0.333333333,0.00069,Technology,Large,True,59.97239998,Low Specificity
AMD,2022,0.166666667,0.000627,Semiconductors,Large,False,49.974920020000006,Low Specificity
AMD,2023,0.333333333,0.000714,Semiconductors,Large,True,59.97143998,Low Specificity
AMD,2024,0.5,0.000714,Semiconductors,Large,True,69.97144,High Specificity
AMD,2025,0.666666667,0.000686,Semiconductors,Large,True,79.97256002,High Specificity
AMPL,2022,0.0,0.00041,Technology,Small,False,39.9836,Low Specificity
AMPL,2023,0.333333333,0.000483,Technology,Small,True,59.98067998,Low Specificity
AMPL,2024,0.333333333,0.000453,Technology,Small,True,59.98187998,Low Specificity
AMPL,2025,0.5,0.000443,Technology,Small,True,69.98228,High Specificity
AMZN,2022,0.166666667,0.000866,Retail & E-Commerce,Large,False,49.96536002,Low Specificity
AMZN,2023,0.333333333,0.000877,Retail & E-Commerce,Large,True,59.964919980000005,Low Specificity
AMZN,2024,0.333333333,0.000873,Retail & E-Commerce,Large,True,59.96507998,Low Specificity
AMZN,2025,0.333333333,0.000856,Retail & E-Commerce,Large,True,59.96575998,Low Specificity
BOOT,2022,0.0,0.000574,Retail & E-Commerce,Medium,False,39.97704,Low Specificity
BOOT,2023,0.0,0.000612,Retail & E-Commerce,Medium,False,39.97552,Low Specificity
BOOT,2024,0.333333333,0.000786,Retail & E-Commerce,Medium,True,59.96855998,Low Specificity
BOOT,2025,0.333333333,0.000804,Retail & E-Commerce,Medium,True,59.967839979999994,Low Specificity
CROX,2022,0.0,0.000846,Consumer Goods,Medium,False,39.96616,Low Specificity
CROX,2023,0.5,0.000934,Consumer Goods,Medium,True,69.96264000000001,High Specificity
CROX,2024,0.5,0.000851,Consumer Goods,Medium,True,69.96596,High Specificity
CROX,2025,0.5,0.000802,Consumer Goods,Medium,True,69.96791999999999,High Specificity
CRUS,2022,0.0,0.000929,Semiconductors,Medium,False,39.96284000000001,Low Specificity
CRUS,2023,0.0,0.000852,Semiconductors,Medium,False,39.965920000000004,Low Specificity
CRUS,2024,0.166666667,0.00101,Semiconductors,Medium,True,49.95960002000001,Low Specificity
CRUS,2025,0.666666667,0.000935,Semiconductors,Medium,True,79.96260002,High Specificity
CRWD,2022,0.333333333,0.000486,Cybersecurity,Large,False,59.98055998,Low Specificity
CRWD,2023,0.333333333,0.000483,Cybersecurity,Large,False,59.98067998,Low Specificity
CRWD,2024,0.666666667,0.000581,Cybersecurity,Large,True,79.97676002,High Specificity
CRWD,2025,0.666666667,0.000585,Cybersecurity,Large,True,79.97660002,High Specificity
ELF,2022,0.166666667,0.000436,Consumer Goods,Medium,False,49.98256002,Low Specificity
ELF,2023,0.0,0.000515,Consumer Goods,Medium,False,39.9794,Low Specificity
ELF,2024,0.5,0.000593,Consumer Goods,Medium,True,69.97628,High Specificity
